"Order_ID","Order_Date","Order_Year","Order_Quarter","Order_Month_Name","Product_ID","Product_Name","Category","Supplier_ID","Supplier_Name","Warehouse","Warehouse_City","Warehouse_Region","Warehouse_Country","Warehouse_Capacity","Warehouse_Utilization","Customer_ID","Customer_Region","Customer_Tier","Quantity_Ordered","Quantity_Shipped","Inventory_Level","Reorder_Point","Safety_Stock","Stock_Status","Demand_Forecast","Inventory_Turnover","Lead_Time_Days","Ship_Date","Delivery_Date","Promised_Delivery_Date","Late_Delivery","Transportation_Mode","Transportation_Distance_KM","Shipping_Cost","Fuel_Cost","Supplier_Unit_Cost","Selling_Price","Revenue","Profit","Order_Status","Product_Return_Rate","Customer_Satisfaction","Satisfaction_Missing","Order_Month","Delivery_Delay_Days","Fulfillment_Rate","Profit_Margin","Is_Peak_Season"
"ORD000014",2024-01-02,2024,"Q1","Jan","P0050","Smart Watch Plus","Electronics","S038","Prime Logistics Partners","WH-MEX","Mexico City","Latin America","Mexico",2600,0.519,"C02182","Latin America","Key Account",6,5,11,5,3,"In Stock",6,2.02,11,2024-01-05,2024-01-09,2024-01-08,TRUE,"Road",1251,53.16,14.88,23.14,28.21,141.05,-27.81,"Delivered",0.068,2.9,FALSE,1,1,0.833,-0.197,FALSE
"ORD000015",2024-01-02,2024,"Q1","Jan","P0107","Cookware Set Eco","Home & Kitchen","S008","Anchor Group","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",22,21,31,115,62,"Low Stock",109,6.14,19,2024-01-03,2024-01-06,2024-01-06,FALSE,"Road",896.2,45.56,12.76,84.67,114.91,2413.11,589.48,"Returned",0.076,3.3,FALSE,1,0,0.955,0.244,FALSE
"ORD000016",2024-01-03,2024,"Q1","Jan","P0102","Lip Balm Set Eco","Health & Beauty","S021","Everest Sourcing","WH-SHA","Shanghai","Asia Pacific","China",2200,1.015,"C02211","Asia Pacific","Standard",9,9,12,12,9,"Low Stock",11,3.4,11,2024-01-06,2024-01-08,2024-01-08,FALSE,"Air",1832.6,99.71,34.9,32.37,54.53,490.77,99.73,"Delivered",0.049,5,FALSE,1,0,1,0.203,FALSE
"ORD000017",2024-01-03,2024,"Q1","Jan","P0003","Plush Toy Max","Toys & Games","S003","Atlas Industries","WH-RTM","Rotterdam","Europe","Netherlands",3350,0.412,"C01646","Europe","Key Account",11,11,174,48,29,"Overstocked",53,8.89,14,2024-01-06,2024-01-07,2024-01-09,FALSE,"Parcel",713.1,38.5,7.7,35.66,49.21,541.31,110.55,"Delivered",0.079,5,FALSE,1,-2,1,0.204,FALSE
"ORD000018",2024-01-03,2024,"Q1","Jan","P0013","Lip Balm Set Lite","Health & Beauty","S015","Delta Industries","WH-DAL","Dallas","North America","USA",7600,0.756,"C00122","North America","Key Account",21,20,249,183,65,"In Stock",160,6.06,20,2024-01-06,2024-01-08,2024-01-09,FALSE,"Road",858.9,41.17,11.53,6.34,10.42,208.4,40.43,"Delivered",0.031,4.2,FALSE,1,-1,0.952,0.194,FALSE
"ORD000019",2024-01-03,2024,"Q1","Jan","P0087","Hair Dryer Prime","Health & Beauty","S021","Everest Sourcing","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",22,22,102,42,18,"In Stock",72,2.39,12,2024-01-04,2024-01-07,2024-01-07,FALSE,"Road",831.4,40.38,11.31,18.78,29.64,652.08,198.54,"Delivered",0.059,4.6,FALSE,1,0,1,0.304,FALSE
"ORD000020",2024-01-03,2024,"Q1","Jan","P0093","Coffee Maker Lite","Home & Kitchen","S008","Anchor Group","WH-DAL","Dallas","North America","USA",7600,0.756,"C01720","North America","Key Account",18,16,131,103,68,"In Stock",80,8.61,16,2024-01-06,2024-01-09,2024-01-09,FALSE,"Road",936.6,45.9,12.85,156.89,193.32,3093.12,536.98,"Delivered",0.056,4.9,FALSE,1,0,0.889,0.174,FALSE
"ORD000021",2024-01-03,2024,"Q1","Jan","P0133","Desk Lamp Lite","Office Supplies","S037","Pinnacle Trading Ltd.","WH-DAL","Dallas","North America","USA",7600,0.756,"C01542","North America","Key Account",80,80,283,199,139,"In Stock",170,7.76,14,2024-01-05,2024-01-08,2024-01-08,FALSE,"Road",952.8,48.38,13.55,16.6,19.64,1571.2,194.82,"Delivered",0.019,4.6,FALSE,1,0,1,0.124,FALSE
"ORD000022",2024-01-03,2024,"Q1","Jan","P0080","Basketball Max","Sporting Goods","S010","Pioneer Logistics Partners","WH-RTM","Rotterdam","Europe","Netherlands",3350,0.412,"C01385","Europe","Key Account",11,11,78,37,21,"In Stock",54,9.42,14,2024-01-04,2024-01-07,2024-01-07,FALSE,"Parcel",713.3,55.66,11.13,19.26,26.48,291.28,23.76,"Delivered",0.071,3.8,FALSE,1,0,1,0.082,FALSE
"ORD000023",2024-01-03,2024,"Q1","Jan","P0022","Yoga Pants Essential","Apparel","S012","Everest Group","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",14,14,102,40,16,"In Stock",56,6.73,2,2024-01-06,2024-01-09,2024-01-09,FALSE,"Road",952.2,43.99,12.32,5.63,9.03,126.42,3.61,"Delivered",0.128,4.4,FALSE,1,0,1,0.029,FALSE
"ORD000024",2024-01-03,2024,"Q1","Jan","P0016","Yoga Pants Plus","Apparel","S007","Titan Industries","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C00147","Asia Pacific","Key Account",17,17,50,20,8,"In Stock",23,5.67,16,2024-01-06,2024-01-07,2024-01-08,FALSE,"Air",1491.2,98.49,34.47,13.12,20.08,341.36,19.83,"Delivered",0.117,2.5,FALSE,1,-1,1,0.058,FALSE
"ORD000025",2024-01-03,2024,"Q1","Jan","P0093","Coffee Maker Lite","Home & Kitchen","S006","Nova Supply Co.","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C01385","Europe","Key Account",17,17,5,31,22,"Low Stock",33,8.61,8,2024-01-04,2024-01-06,2024-01-07,FALSE,"Road",562.3,34.85,9.76,120.09,150.13,2552.21,475.83,"Delivered",0.056,4.6,FALSE,1,-1,1,0.186,FALSE
"ORD000026",2024-01-03,2024,"Q1","Jan","P0114","Desk Lamp Max","Office Supplies","S032","Atlas Supply Co.","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C01990","Asia Pacific","Standard",38,35,13,39,14,"Low Stock",38,2.56,20,2024-01-05,2024-01-06,2024-01-07,FALSE,"Air",1554.9,126.8,44.38,14.49,17.31,605.85,-28.1,"Delivered",0.047,4.2,FALSE,1,-1,0.921,-0.046,FALSE
"ORD000027",2024-01-03,2024,"Q1","Jan","P0137","Bookshelf Pro","Furniture","S040","Meridian Industries","WH-DAL","Dallas","North America","USA",7600,0.756,"C00716","Europe","Key Account",8,7,5,9,6,"Low Stock",7,6.23,11,2024-01-04,2024-01-12,2024-01-06,TRUE,"Air",7959.1,326.28,114.2,115.95,156.87,1098.09,-39.84,"Delivered",0.064,2.8,FALSE,1,6,0.875,-0.036,FALSE
"ORD000028",2024-01-03,2024,"Q1","Jan","P0042","Water Bottle Lite","Sporting Goods","S009","Anchor Group","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C01634","Europe","Key Account",12,12,30,14,7,"In Stock",8,2.18,17,2024-01-05,2024-01-13,2024-01-08,TRUE,"Road",543.1,32.97,9.23,9.33,12.59,151.08,6.15,"Delivered",0.031,2.4,FALSE,1,5,1,0.041,FALSE
"ORD000029",2024-01-03,2024,"Q1","Jan","P0150","4K Webcam Compact","Electronics","S019","Summit Manufacturing","WH-SHA","Shanghai","Asia Pacific","China",2200,1.015,"C01643","Asia Pacific","Key Account",9,9,4,4,2,"Low Stock",8,2.14,6,2024-01-05,2024-01-08,2024-01-08,FALSE,"Parcel",1633.4,59.5,11.9,14.6,17.29,155.61,-35.29,"Delivered",0.18,4,FALSE,1,0,1,-0.227,FALSE
"ORD000030",2024-01-03,2024,"Q1","Jan","P0093","Coffee Maker Lite","Home & Kitchen","S006","Nova Supply Co.","WH-CHI","Chicago","North America","USA",5400,0.536,"C01195","North America","Standard",8,8,297,132,80,"In Stock",107,8.61,13,2024-01-04,2024-01-07,2024-01-07,FALSE,"Road",939,44.57,12.48,117.42,146.6,1172.8,188.87,"Delivered",0.056,3.7,FALSE,1,0,1,0.161,FALSE
"ORD000031",2024-01-03,2024,"Q1","Jan","P0107","Cookware Set Eco","Home & Kitchen","S014","Beacon Group","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",17,17,218,102,40,"In Stock",96,6.14,18,2024-01-05,2024-01-07,2024-01-08,FALSE,"Road",1016.9,48.48,13.57,78.72,106.98,1818.66,431.94,"Delivered",0.076,5,FALSE,1,-1,1,0.238,FALSE
"ORD000032",2024-01-04,2024,"Q1","Jan","P0133","Desk Lamp Lite","Office Supplies","S037","Pinnacle Trading Ltd.","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",83,80,382,250,136,"In Stock",278,7.76,8,2024-01-06,2024-01-09,2024-01-09,FALSE,"Road",946.8,48.2,13.5,18.23,21.6,1728,221.4,"Delivered",0.019,5,FALSE,1,0,0.964,0.128,FALSE
"ORD000033",2024-01-04,2024,"Q1","Jan","P0063","Printer Paper Case Max","Office Supplies","S032","Atlas Supply Co.","WH-DAL","Dallas","North America","USA",7600,0.756,"C01227","North America","Key Account",132,127,1860,388,160,"Overstocked",316,6.52,25,2024-01-06,2024-01-08,2024-01-09,FALSE,"Road",932.8,50.6,14.17,37.46,47.85,6076.95,1268.93,"Delivered",0.017,4.4,FALSE,1,-1,0.962,0.209,FALSE
"ORD000034",2024-01-04,2024,"Q1","Jan","P0126","Cookware Set Plus","Home & Kitchen","S006","Nova Supply Co.","WH-SHA","Shanghai","Asia Pacific","China",2200,1.015,"C01644","Asia Pacific","Key Account",16,15,187,42,18,"Overstocked",69,5.66,9,2024-01-06,2024-01-07,2024-01-08,FALSE,"Air",1632.3,137.27,48.04,75.15,97.41,1461.15,196.63,"Delivered",0.063,4.7,FALSE,1,-1,0.938,0.135,FALSE
"ORD000035",2024-01-04,2024,"Q1","Jan","P0042","Water Bottle Lite","Sporting Goods","S009","Anchor Group","WH-CHI","Chicago","North America","USA",5400,0.536,"C01542","North America","Key Account",16,16,0,16,9,"Stock-Out",16,2.18,14,2024-01-05,2024-01-14,2024-01-08,TRUE,"Road",907.1,44.45,12.45,9.77,13.3,212.8,12.03,"Delivered",0.031,4.3,FALSE,1,6,1,0.057,FALSE
"ORD000036",2024-01-04,2024,"Q1","Jan","P0033","Cotton T-Shirt Essential","Apparel","S013","Pinnacle Industries","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C00147","Asia Pacific","Key Account",14,13,31,19,13,"In Stock",16,2.75,13,2024-01-05,2024-01-07,2024-01-07,FALSE,"Air",1384.2,94.31,33.01,25.48,35.95,467.35,41.8,"Delivered",0.209,4.3,FALSE,1,0,0.929,0.089,FALSE
"ORD000037",2024-01-04,2024,"Q1","Jan","P0080","Basketball Max","Sporting Goods","S010","Pioneer Logistics Partners","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C01051","Asia Pacific","Standard",3,3,44,11,10,"Overstocked",4,9.42,9,2024-01-06,2024-01-08,2024-01-09,FALSE,"Parcel",1384.7,38.85,7.77,18.8,25.91,77.73,-17.52,"Delivered",0.071,4.3,FALSE,1,-1,1,-0.225,FALSE
"ORD000038",2024-01-04,2024,"Q1","Jan","P0136","Tablet Prime","Electronics","S027","Global Supply Co.","WH-DAL","Dallas","North America","USA",7600,0.756,"C00288","North America","Key Account",13,8,27,30,20,"Low Stock",27,10.22,7,2024-01-05,2024-01-07,2024-01-08,FALSE,"Road",876.6,42.3,11.84,10.14,11.97,95.76,-27.66,"Delivered",0.093,3.8,FALSE,1,-1,0.615,-0.289,FALSE
"ORD000039",2024-01-04,2024,"Q1","Jan","P0133","Desk Lamp Lite","Office Supplies","S037","Pinnacle Trading Ltd.","WH-CHI","Chicago","North America","USA",5400,0.536,"C00680","North America","Key Account",62,36,382,250,136,"In Stock",278,7.76,12,2024-01-07,2024-01-10,2024-01-10,FALSE,"Road",962.8,46.04,12.89,17.61,20.94,753.84,73.84,"Delivered",0.019,4.1,FALSE,1,0,0.581,0.098,FALSE
"ORD000040",2024-01-04,2024,"Q1","Jan","P0043","Face Moisturizer Max","Health & Beauty","S015","Delta Industries","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",16,16,25,37,30,"Low Stock",10,5.42,14,2024-01-06,2024-01-09,2024-01-09,FALSE,"Road",869.6,41.41,11.59,27.55,40.41,646.56,164.35,"Delivered",0.057,4.4,FALSE,1,0,1,0.254,FALSE
"ORD000041",2024-01-04,2024,"Q1","Jan","P0093","Coffee Maker Lite","Home & Kitchen","S006","Nova Supply Co.","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C01758","Asia Pacific","Key Account",21,20,65,27,23,"In Stock",25,8.61,6,2024-01-07,2024-01-12,2024-01-10,TRUE,"Road",1606.8,66.7,18.68,118.62,149.86,2997.2,558.1,"Delivered",0.056,3.3,FALSE,1,2,0.952,0.186,FALSE
"ORD000042",2024-01-04,2024,"Q1","Jan","P0023","Filing Cabinet Lite","Furniture","S037","Pinnacle Trading Ltd.","WH-DAL","Dallas","North America","USA",7600,0.756,"C01415","North America","Key Account",3,3,41,27,13,"In Stock",31,9.11,11,2024-01-06,2024-01-08,2024-01-09,FALSE,"Road",851.9,43.26,12.11,31.05,41.54,124.62,-11.79,"Delivered",0.093,5,FALSE,1,-1,1,-0.095,FALSE
"ORD000043",2024-01-04,2024,"Q1","Jan","P0136","Tablet Prime","Electronics","S027","Global Supply Co.","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C02490","Asia Pacific","Key Account",10,10,4,11,8,"Low Stock",11,10.22,9,2024-01-06,2024-01-13,2024-01-09,TRUE,"Parcel",1623.6,62.35,12.47,10.41,12.25,122.5,-43.95,"Returned",0.093,2.1,FALSE,1,4,1,-0.359,FALSE
"ORD000044",2024-01-04,2024,"Q1","Jan","P0133","Desk Lamp Lite","Office Supplies","S037","Pinnacle Trading Ltd.","WH-CHI","Chicago","North America","USA",5400,0.536,"C00122","North America","Key Account",70,70,382,250,136,"In Stock",278,7.76,18,2024-01-06,2024-01-13,2024-01-09,TRUE,"Road",1031.3,50.14,14.04,18.13,21.27,1488.9,169.66,"Delivered",0.019,3.6,FALSE,1,4,1,0.114,FALSE
"ORD000045",2024-01-04,2024,"Q1","Jan","P0074","Denim Jacket Classic","Apparel","S017","Vertex Industries","WH-CHI","Chicago","North America","USA",5400,0.536,"C00497","North America","Standard",9,9,107,36,21,"In Stock",47,9.72,10,2024-01-07,2024-01-11,2024-01-10,TRUE,"Road",955.4,43.93,12.3,10.43,15.4,138.6,0.8,"Delivered",0.118,3.7,FALSE,1,1,1,0.006,FALSE
"ORD000046",2024-01-05,2024,"Q1","Jan","P0028","Tablet Classic","Electronics","S002","Prime Manufacturing","WH-DAL","Dallas","North America","USA",7600,0.756,"C01271","North America","Key Account",12,12,20,7,4,"In Stock",12,3.49,8,2024-01-07,2024-01-09,2024-01-10,FALSE,"Road",882,42.96,12.03,29.83,36.1,433.2,32.28,"Delivered",0.179,4.1,FALSE,1,-1,1,0.075,FALSE
"ORD000047",2024-01-05,2024,"Q1","Jan","P0135","Ballpoint Pen Box Essential","Office Supplies","S030","Sterling Industries","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",80,80,103,35,24,"In Stock",84,5.06,4,2024-01-08,2024-01-10,2024-01-11,FALSE,"Parcel",920.6,137.01,27.4,3.54,4.51,360.8,-59.41,"Delivered",0.026,3.7,FALSE,1,-1,1,-0.165,FALSE
"ORD000048",2024-01-05,2024,"Q1","Jan","P0136","Tablet Prime","Electronics","S027","Global Supply Co.","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",3,3,40,16,16,"In Stock",3,10.22,5,2024-01-06,2024-01-09,2024-01-09,FALSE,"Road",1019.2,45.95,12.87,10.87,12.85,38.55,-40.01,"Delivered",0.093,4.7,FALSE,1,0,1,-1.038,FALSE
"ORD000049",2024-01-05,2024,"Q1","Jan","P0123","USB-C Hub Pro","Electronics","S019","Summit Manufacturing","WH-CHI","Chicago","North America","USA",5400,0.536,"C00973","North America","Key Account",14,14,40,14,9,"In Stock",14,4.75,10,2024-01-08,2024-01-16,2024-01-11,TRUE,"Road",1029.9,47.65,13.34,7.2,9.13,127.82,-20.63,"Delivered",0.109,3.4,FALSE,1,5,1,-0.161,FALSE
"ORD000050",2024-01-05,2024,"Q1","Jan","P0049","Face Moisturizer Max","Health & Beauty","S021","Everest Sourcing","WH-CHI","Chicago","North America","USA",5400,0.536,"C00122","North America","Key Account",24,23,37,12,6,"Overstocked",22,2.35,8,2024-01-08,2024-01-10,2024-01-11,FALSE,"Parcel",968.1,33.56,6.71,5.49,9.04,207.92,48.09,"Delivered",0.042,3.9,FALSE,1,-1,0.958,0.231,FALSE
"ORD000051",2024-01-05,2024,"Q1","Jan","P0139","Water Bottle Essential","Sporting Goods","S039","Atlas Trading Ltd.","WH-CHI","Chicago","North America","USA",5400,0.536,"C01006","North America","Key Account",4,4,57,13,10,"Overstocked",4,2.13,23,2024-01-08,2024-01-11,2024-01-11,FALSE,"Road",1019.4,46.14,12.92,10.05,13.61,54.44,-31.9,"Delivered",0.087,4.7,FALSE,1,0,1,-0.586,FALSE
"ORD000052",2024-01-05,2024,"Q1","Jan","P0080","Basketball Max","Sporting Goods","S010","Pioneer Logistics Partners","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C01646","Europe","Key Account",12,12,22,30,13,"Low Stock",48,9.42,12,2024-01-06,2024-01-08,2024-01-09,FALSE,"Road",624.1,35.4,9.91,18.09,24.97,299.64,47.16,"Delivered",0.071,4.2,FALSE,1,-1,1,0.157,FALSE
"ORD000053",2024-01-05,2024,"Q1","Jan","P0033","Cotton T-Shirt Essential","Apparel","S013","Pinnacle Industries","WH-DAL","Dallas","North America","USA",7600,0.756,"C01006","North America","Key Account",20,20,46,32,23,"In Stock",22,2.75,13,2024-01-08,2024-01-10,2024-01-11,FALSE,"Road",914.3,43.03,12.05,26.12,36.09,721.8,156.37,"Delivered",0.209,3.9,FALSE,1,-1,1,0.217,FALSE
"ORD000054",2024-01-05,2024,"Q1","Jan","P0023","Filing Cabinet Lite","Furniture","S037","Pinnacle Trading Ltd.","WH-MEX","Mexico City","Latin America","Mexico",2600,0.519,"C00235","Latin America","Key Account",4,4,33,14,7,"In Stock",16,9.11,11,2024-01-08,2024-01-17,2024-01-11,TRUE,"Parcel",1136.5,111.45,22.29,30.29,40.75,163,-69.61,"Returned",0.093,2.9,FALSE,1,6,1,-0.427,FALSE
"ORD000055",2024-01-05,2024,"Q1","Jan","P0080","Basketball Max","Sporting Goods","S010","Pioneer Logistics Partners","WH-FRA","Frankfurt","Europe","Germany",2250,0.447,"C01646","Europe","Key Account",12,11,22,30,13,"Low Stock",48,9.42,11,2024-01-06,2024-01-08,2024-01-09,FALSE,"Road",607,34.75,9.73,18.07,25.29,278.19,44.67,"Delivered",0.071,2.8,FALSE,1,-1,0.917,0.161,FALSE
"ORD000056",2024-01-05,2024,"Q1","Jan","P0049","Face Moisturizer Max","Health & Beauty","S015","Delta Industries","WH-DAL","Dallas","North America","USA",7600,0.756,"C00513","North America","Key Account",31,31,125,59,35,"In Stock",25,2.35,23,2024-01-06,2024-01-09,2024-01-09,FALSE,"Parcel",960.2,37.28,7.46,5.39,8.64,267.84,63.47,"Delivered",0.042,3.9,FALSE,1,0,1,0.237,FALSE
"ORD000057",2024-01-05,2024,"Q1","Jan","P0082","Bedding Set Prime","Home & Kitchen","S020","Pinnacle Manufacturing","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C00147","Asia Pacific","Key Account",20,20,20,11,3,"In Stock",17,1.3,12,2024-01-07,2024-01-08,2024-01-09,FALSE,"Air",1350.3,146.51,51.28,56.67,79.15,1583,303.09,"Delivered",0,3.2,FALSE,1,-1,1,0.191,FALSE
"ORD000058",2024-01-05,2024,"Q1","Jan","P0063","Printer Paper Case Max","Office Supplies","S032","Atlas Supply Co.","WH-DAL","Dallas","North America","USA",7600,0.756,"C01542","North America","Key Account",76,76,1860,388,160,"Overstocked",316,6.52,24,2024-01-08,2024-01-11,2024-01-11,FALSE,"Road",975.3,48.82,13.67,39.79,52.27,3972.52,899.66,"Delivered",0.017,4.3,FALSE,1,0,1,0.226,FALSE
"ORD000059",2024-01-05,2024,"Q1","Jan","P0078","Shampoo Set Essential","Health & Beauty","S021","Everest Sourcing","WH-SIN","Singapore","Asia Pacific","Singapore",1500,0.329,"C00101","Asia Pacific","Key Account",18,18,2,11,3,"Low Stock",15,1.81,13,2024-01-06,2024-01-07,2024-01-08,FALSE,"Air",1380.7,93.73,32.81,22.69,32.51,585.18,83.03,"Delivered",0.069,3.7,FALSE,1,-1,1,0.142,FALSE
